UserID,Name,Age,City,TradingCategories,AccountBalance,ExperienceLevel
bdc4cc8c,Samantha Hernandez,45,Hornfurt,EQ,860795.15,Expert
bdc4cc8c,Samantha Hernandez,45,Hornfurt,DER,860795.15,Expert
bdc4cc8c,Samantha Hernandez,45,Hornfurt,COM,860795.15,Expert
4adc9ff3,Cheryl Schmidt,20,Lake Diana,MF,438574.37,Intermediate
4adc9ff3,Cheryl Schmidt,20,Lake Diana,CUR,438574.37,Intermediate
4adc9ff3,Cheryl Schmidt,20,Lake Diana,EQ,438574.37,Intermediate
1c08d9b1,Steve Parsons,40,Lake Savannahview,BOND,737634.74,Intermediate
1c08d9b1,Steve Parsons,40,Lake Savannahview,IDX,737634.74,Intermediate
48a382cf,Brandy Owens,35,Brandonview,CUR,628444.02,Expert
577f5209,Christopher Sanders,53,Rodriguezfort,BOND,171359.47,Intermediate
577f5209,Christopher Sanders,53,Rodriguezfort,COM,171359.47,Intermediate
577f5209,Christopher Sanders,53,Rodriguezfort,CUR,171359.47,Intermediate
6dd988d2,Daniel Black,25,Wardshire,COM,579757.16,Expert
6dd988d2,Daniel Black,25,Wardshire,DER,579757.16,Expert
4aa8018d,Jill Hall,24,Rodriguezberg,CUR,231396.29,Beginner
4aa8018d,Jill Hall,24,Rodriguezberg,COM,231396.29,Beginner
adfedf56,Michael Sawyer,27,Vasquezland,DER,43583.23,Intermediate
a9ca6835,Melanie Hahn,34,Robinsonside,CUR,950329.96,Intermediate
26aed85c,Stephanie Richards,33,Laurenport,MF,303400.68,Expert
26aed85c,Stephanie Richards,33,Laurenport,COM,303400.68,Expert
26aed85c,Stephanie Richards,33,Laurenport,CUR,303400.68,Expert
44624793,Jeffrey Scott,52,Craigtown,IDX,592430.2,Beginner
44624793,Jeffrey Scott,52,Craigtown,MF,592430.2,Beginner
1575510a,Allison Smith,36,Weaverside,EQ,703369.28,Expert
1575510a,Allison Smith,36,Weaverside,IDX,703369.28,Expert
803907e0,Brittney Diaz,36,West Jeffreyland,COM,125456.87,Expert
803907e0,Brittney Diaz,36,West Jeffreyland,BOND,125456.87,Expert
803907e0,Brittney Diaz,36,West Jeffreyland,IDX,125456.87,Expert
464c7884,Wayne Moore,33,North Joseph,DER,662963.2,Expert
a164401c,Jennifer Zimmerman,40,West Royland,BOND,141028.99,Beginner
77539fec,Johnny Gonzalez,44,New Carol,EQ,461506.11,Expert
dd2ebc81,Thomas Wade,52,Adammouth,CUR,841074.98,Intermediate
dd2ebc81,Thomas Wade,52,Adammouth,IDX,841074.98,Intermediate
a40a060a,Ms. Carla Garcia,48,Maloneview,BOND,285208.11,Beginner
a40a060a,Ms. Carla Garcia,48,Maloneview,CUR,285208.11,Beginner
03414c74,Kevin Barrett,40,South Katherine,CUR,315323.14,Beginner
03414c74,Kevin Barrett,40,South Katherine,DER,315323.14,Beginner
b0d8726b,Cassandra Moore,43,New Renee,CUR,758749.23,Expert
b0d8726b,Cassandra Moore,43,New Renee,DER,758749.23,Expert
f8c0eec6,Victor Smith,26,Port Paul,CUR,116423.68,Intermediate
f8c0eec6,Victor Smith,26,Port Paul,COM,116423.68,Intermediate
ce400419,Terri Cunningham,31,West Benjaminmouth,CUR,375107.84,Beginner
93f9f574,Carrie Parker,56,Leeshire,DER,661904.54,Expert
93f9f574,Carrie Parker,56,Leeshire,MF,661904.54,Expert
3b86f8ce,Wayne Wheeler,57,Port Paulaburgh,MF,74367.4,Expert
9f6cd88f,Ryan Waters,32,Meganfort,DER,322808.34,Intermediate
9f6cd88f,Ryan Waters,32,Meganfort,CUR,322808.34,Intermediate
26ca3761,Sarah Delgado,50,Jacquelineview,MF,27662.41,Intermediate
26ca3761,Sarah Delgado,50,Jacquelineview,EQ,27662.41,Intermediate
689e600d,Mr. Michael Rivera,59,Clementsfort,MF,136339.44,Intermediate
d2c4d277,Jocelyn Jensen,30,Lake Stevenville,CUR,226246.44,Intermediate
d2c4d277,Jocelyn Jensen,30,Lake Stevenville,DER,226246.44,Intermediate
d2c4d277,Jocelyn Jensen,30,Lake Stevenville,EQ,226246.44,Intermediate
aefc0f01,Lori Doyle,42,Sanchezburgh,BOND,231105.65,Beginner
aefc0f01,Lori Doyle,42,Sanchezburgh,EQ,231105.65,Beginner
aefc0f01,Lori Doyle,42,Sanchezburgh,COM,231105.65,Beginner
249799cb,Dorothy Lowe,25,New Debrachester,DER,289640.09,Beginner
e85101f4,Charles Anderson,23,East Andrewfort,CUR,383858.55,Intermediate
e85101f4,Charles Anderson,23,East Andrewfort,MF,383858.55,Intermediate
e85101f4,Charles Anderson,23,East Andrewfort,EQ,383858.55,Intermediate
86a5d43e,Donna Stout,41,North Ruth,EQ,394064.19,Beginner
86a5d43e,Donna Stout,41,North Ruth,DER,394064.19,Beginner
86a5d43e,Donna Stout,41,North Ruth,COM,394064.19,Beginner
43786508,Kenneth Lewis,33,Pedroland,DER,807269.43,Expert
43786508,Kenneth Lewis,33,Pedroland,EQ,807269.43,Expert
f3fe8a5b,Marcus Porter,51,Bethside,IDX,851674.17,Expert
f3fe8a5b,Marcus Porter,51,Bethside,COM,851674.17,Expert
f3fe8a5b,Marcus Porter,51,Bethside,CUR,851674.17,Expert
ae12573c,Christopher Cline,34,North Jonathanfurt,BOND,838859.05,Intermediate
ae12573c,Christopher Cline,34,North Jonathanfurt,COM,838859.05,Intermediate
ce112266,Michele Phillips,28,Port Veronicaland,EQ,140543.96,Intermediate
ce112266,Michele Phillips,28,Port Veronicaland,MF,140543.96,Intermediate
36778978,Allison Patterson,37,Youngstad,CUR,922180.85,Expert
36778978,Allison Patterson,37,Youngstad,DER,922180.85,Expert
